[ 03-21-2017 11:25:58 pm ]  Got fs: {"isFile":false,"isDirectory":true,"name":"","fullPath":"/","filesystem":"<FileSystem: sdcard>","nativeURL":"file:///storage/emulated/0/"}
[ 03-21-2017 11:25:57 pm ]  Sent ATCRA38X
[ 03-21-2017 11:25:57 pm ]  Sent ATCRA38X
[ 03-21-2017 11:25:57 pm ]  Sent ATCF38F
[ 03-21-2017 11:25:57 pm ]  Sent ATCF38F
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:57 pm ]  Parsing STO
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:57 pm ]  Got Headlight status: 0200FF1D2000
[ 03-21-2017 11:25:57 pm ]  Parsing 625
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:57 pm ]  Got Turn Signal status: 0006180000000000
[ 03-21-2017 11:25:57 pm ]  Parsing 60D
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:57 pm ]  Got Headlight status: 0200FF1D2000
[ 03-21-2017 11:25:57 pm ]  Parsing 625
[ 03-21-2017 11:25:57 pm ]  Sent ATMA
[ 03-21-2017 11:25:57 pm ]  Got Turn Signal status: 0006180000000000
[ 03-21-2017 11:25:57 pm ]  Parsing 60D
[ 03-21-2017 11:25:57 pm ]  Sent ATMA
[ 03-21-2017 11:25:57 pm ]  Sent ATCRA6XX
[ 03-21-2017 11:25:57 pm ]  Sent ATCRA6XX
[ 03-21-2017 11:25:57 pm ]  Sent ATCF62F
[ 03-21-2017 11:25:57 pm ]  Sent ATCF62F
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:57 pm ]  Parsing STO
[ 03-21-2017 11:25:57 pm ]  Sent X
[ 03-21-2017 11:25:56 pm ]  Got Cruise Control 00000080FF000000
[ 03-21-2017 11:25:56 pm ]  Got Cruise Control 00000080FF000000
[ 03-21-2017 11:25:56 pm ]  Parsing 551
[ 03-21-2017 11:25:56 pm ]  Sent ATMA
[ 03-21-2017 11:25:56 pm ]  Got Climate data 0108801204000000
[ 03-21-2017 11:25:56 pm ]  Parsing 54B
[ 03-21-2017 11:25:56 pm ]  Sent ATMA
[ 03-21-2017 11:25:56 pm ]  Parsing 54A
[ 03-21-2017 11:25:56 pm ]  Sent ATMA
[ 03-21-2017 11:25:56 pm ]  Sent ATCRA5XX
[ 03-21-2017 11:25:56 pm ]  Sent ATCRA5XX
